userCardNo,Payments,real_collection_date,category,img_url
LM0CQRM8,자유이용서비스,2025-11-23,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251124102610_fd976088e9254f38bbd54be4d475d7e4.jpeg
LM0CQRM8,자유이용서비스,2025-11-23,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251124102710_3d34884f7464453fa1cc9918fe10be53.jpeg
LM0CQRM8,자유이용서비스,2025-11-23,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251124102810_2a64c8bd833f431ebffb6074faf26987.jpeg
LM0CQRM8,자유이용서비스,2025-11-23,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20251124102510_56f1ffa771ad42ed9bf5fc355ab5d1d8.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-8-27,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250828055105_a1d94764f091459bae5de200d0807873.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-8-27,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250828055205_54fffe58c21441d2bc0e3e8c1055f10f.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-8-27,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250828055305_041771dc354b43fa847feba3e37fbd55.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-8-27,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250828055405_92a7e7a35edd485fb606135b57fe577d.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-8-27,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250828055405_8ad4e7bcb0bd414cb1c4f03d6e788a03.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-8-27,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250828055505_61a54236dab648ecb099a8ecefd53a3f.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-8-27,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250828055605_050ec84844ce44ab808a8f0c5ca32982.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-8-27,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250828055705_7cb61d6d7d324f8cabc1ce69d72cf87d.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025202_6faaf2d6e4d646a5ba511fe003b1d787.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025302_643f9113e9ea4ce684e84dc28e7db734.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025302_3cf51f9f57634326bc9079f819e7644b.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025402_20d46a41f39c491aab95e543d5db71b6.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025402_2ffcf0491a8d4faa9c5889eba8c4b69d.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025502_dfd64e07e15942b58b7802586d5af7c9.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025502_c4a399911a284bc48078784cf86f6133.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025502_1778c4b030354c81ac7d2f8577e041ca.jpeg
WJFM7PWS,와이셔츠&드라이 47,2025-9-8,셔츠류,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250909025602_e1d4f5b22a3f4433bde6dc4618ac9d92.jpeg
