userCardNo,real_collection_date,category,img_url
3MZWPFTC,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811073307_2aab566e49fa496fb45b108efdcf9e57.jpeg
3MZWPFTC,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811073307_844c90b9a37740958fe803c9ca42f818.jpeg
3MZWPFTC,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811073307_e0c43797d3fe4a37ad1f7292ade46238.jpeg
3MZWPFTC,2025.8.10,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250811073407_338b5245e0f44ee59b3ed1e44d13e999.jpeg
UQAF7PCB,2025.8.11,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250812042404_b2458dce649f4b8fbcfa8aa117d6b03c.jpeg
UQAF7PCB,2025.8.11,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250812042504_6d7e22bf9900415d89c757a22833ddd2.jpeg
UQAF7PCB,2025.8.11,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250812042504_77cb8cd9eb484caab1a71301fbf3afd7.jpeg
UQAF7PCB,2025.8.11,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250812042604_f826ecf6629048b9b8ff3ee76ce4eb55.jpeg
T8E6FEJW,2025.8.11,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250812053205_e592261a163944d4b30d0edd6cf5768f.jpeg
9SL1YYE4,2025.8.11,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250812052205_accf00a17eb144cfaecb4d8cdf71d8e9.jpeg
IXRRIYAJ,2025.8.11,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250812101210_73e68d806913465bb507a4afcbaa33bb.jpeg
IXRRIYAJ,2025.8.11,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250812101610_1bc65df27d624341a1852e70f898317c.jpeg
QV78M8P9,2025.8.12,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250813014701_388aa1e67dbe4671901dc5d6767392bb.jpeg
QV78M8P9,2025.8.12,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250813014601_a75c723d9df843ffb9c13f14ebab594a.jpeg
QV78M8P9,2025.8.12,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250813014701_00c2e337eeb6400ba704d470dd28d938.jpeg
MWZ1GY0S,2025.8.12,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250813012401_c64d9df5372445ed95498ae39f800995.jpeg
W4JH9RHN,2025.8.12,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250813053705_4e2d355018e743788669c849b22bbfc8.jpeg
BGQD38SR,2025.8.12,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250813060306_d31dfd1d27414935a22dbd341dfc3acc.jpeg
BGQD38SR,2025.8.12,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250813060406_ed33660b03604273a354508dd54c1f01.jpeg
BGQD38SR,2025.8.12,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250813060406_6e598c880e0c4e4b881a010a4d00d9e9.jpeg
BGQD38SR,2025.8.12,와이셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250813060406_4c2e279e185b424699768271bcbd5c53.jpeg
ICNKZ2VE,2025.8.13,일반셔츠,https://cloudfront.laundrygo.com/smartfactory/smartfactory_20250814063506_7742db97faea405fb651b413516c6c16.jpeg
